"Step","episodes_avail: 32 - normalized_score","episodes_avail: 32 - normalized_score__MIN","episodes_avail: 32 - normalized_score__MAX","episodes_avail: 64 - normalized_score","episodes_avail: 64 - normalized_score__MIN","episodes_avail: 64 - normalized_score__MAX","episodes_avail: 128 - normalized_score","episodes_avail: 128 - normalized_score__MIN","episodes_avail: 128 - normalized_score__MAX","episodes_avail: 256 - normalized_score","episodes_avail: 256 - normalized_score__MIN","episodes_avail: 256 - normalized_score__MAX","episodes_avail: 512 - normalized_score","episodes_avail: 512 - normalized_score__MIN","episodes_avail: 512 - normalized_score__MAX","episodes_avail: 1024 - normalized_score","episodes_avail: 1024 - normalized_score__MIN","episodes_avail: 1024 - normalized_score__MAX","episodes_avail: 2048 - normalized_score","episodes_avail: 2048 - normalized_score__MIN","episodes_avail: 2048 - normalized_score__MAX","episodes_avail: 4096 - normalized_score","episodes_avail: 4096 - normalized_score__MIN","episodes_avail: 4096 - normalized_score__MAX","episodes_avail: 8192 - normalized_score","episodes_avail: 8192 - normalized_score__MIN","episodes_avail: 8192 - normalized_score__MAX","episodes_avail: 16384 - normalized_score","episodes_avail: 16384 - normalized_score__MIN","episodes_avail: 16384 - normalized_score__MAX","episodes_avail: 32768 - normalized_score","episodes_avail: 32768 - normalized_score__MIN","episodes_avail: 32768 - normalized_score__MAX","episodes_avail: 65536 - normalized_score","episodes_avail: 65536 - normalized_score__MIN","episodes_avail: 65536 - normalized_score__MAX","episodes_avail: 131072 - normalized_score","episodes_avail: 131072 - normalized_score__MIN","episodes_avail: 131072 - normalized_score__MAX"
"12500","27.50200633327087","23.56024916861833","31.13202005586711","20.90537355949097","20.354511746044366","21.745139352114293","22.939305141290802","19.592033242184172","26.956256651245127","27.984567419511503","24.974508944210275","29.53191650294566","30.093410004075146","27.966056251213523","33.27008303343996","32.376933021873526","31.207715245017177","33.04200949712056","43.581772110883634","42.358619321886934","45.93204464940965","55.56497580075869","54.38070123318476","57.2631950936419","67.64120701267763","66.29652513268903","69.43237146041511","70.45108970375114","68.90076195628309","73.51327421759197","71.47303348360225","70.04290744564483","72.41218736829286","71.60235076637464","70.23808860747633","72.66396054961032","71.71723542094817","69.74370189788995","73.45013067402259"
"13000","26.30454369540633","24.16718599179818","28.29049439778056","21.190905613840137","18.924538897280048","24.73019536153381","22.847941369946973","19.982887017070794","25.10600171020548","28.44431826820444","26.809855238183033","30.209848934072625","31.223002463848314","29.812133408503993","32.60530322044094","35.064414846013","33.89687025328077","36.44575249070576","42.08464638452829","39.16290318470218","43.638495673475475","56.111514505146374","54.00513581389554","58.48630857366868","65.46079446617435","64.30278053494813","67.36337354686353","69.79896472658889","69.28290503899841","70.48311855044243","72.10295045630099","69.95444084591558","74.66787262124669","70.41940377371223","69.07748230156945","71.50288153561628","70.59440177943304","68.01272077618854","72.00345043827089"
"13500","26.02968564107799","23.43974296636919","27.17298188431569","21.213177191212093","17.540911374184216","23.957391081911464","21.112343216772384","19.85616543641899","22.925333789708443","32.30883461433605","29.543959901616308","36.496483263321124","28.267317338935165","23.365274737000313","31.654814139843428","32.23605419071552","30.99019995709233","33.756728813785784","42.84882524102194","39.820544284584365","45.81336598316872","51.7387827862369","49.2128004523369","53.558863817914","64.39780443501402","63.32547636942848","65.46269863131127","70.983830038056","69.53928156862001","72.3319507886622","69.61316022589025","67.88932263737712","71.65186209442169","70.42066407717576","68.30294546928928","71.44914490036247","72.35431555675696","71.76976557947799","73.21948019597184"
"14000","28.500462057872472","23.90893718929083","32.99959158208714","21.586854268629853","15.913663428626068","24.78109431607403","22.340513313172636","21.27869206964982","23.99048929487135","28.05596512433249","25.903597932975746","29.47588173497206","28.904727298384458","21.75258740443252","34.86681767216871","30.61391646024119","26.63296822360876","36.02404109174866","40.74977256477146","37.13036998120037","45.32663198361483","54.10056619071928","52.412176754202044","56.184926049971274","67.62010972785362","65.72802925107109","69.2248343600555","70.88937869482474","69.44262399785288","72.9663661705555","71.53307081682544","70.07409000085904","73.89136139745024","71.89985088126873","70.75833348695004","73.60130041458261","72.45768925988672","71.38150844344543","73.56897340701687"
"14500","28.403398620459587","27.709590373702202","29.44857199797864","22.456457278280816","19.77970056469067","26.85949702227631","22.970137313940526","17.97000644022288","26.863212586108077","27.56163039077047","24.899269966083803","31.48449177958412","28.828495972042894","24.012041842856092","32.49547468438084","31.685820383063742","30.085986535764004","33.59918075976076","40.50661103810015","39.105957989136755","43.24361950396817","52.531491839575295","49.70332374508424","55.228202419518446","63.81810953060554","61.29237234919207","66.39690748698841","71.73759605378824","71.06901962770185","72.85765237979113","70.74251098419731","68.28623175744552","73.3659101848362","71.20949953653765","70.38111323928186","72.30038162161657","72.6954404442588","71.66632662281492","74.18806238343434"
"15000","29.5271463448858","28.06250171417961","30.280477849060684","23.399595615243996","19.974083693684005","27.652355297052683","21.509278399560547","18.790241097698395","24.586001215162042","31.5319401938131","28.221165428689897","34.48252745888683","28.00838402142005","25.36620427959671","30.126681935464074","31.862176916278127","29.670483191742026","34.35709490471045","41.20448863683857","38.06504761782766","44.246969071616846","53.565226062319454","51.466365592347586","55.11876907321087","65.62960997465667","62.82485928201744","68.55301736982695","70.70355746197967","68.62288936797907","72.51729939699813","72.28047147970949","70.97124122973898","74.16453084689829","72.06835594995647","71.2751988458669","73.77741484853235","71.8388870498705","71.10431278492698","72.84037688984685"
"15500","27.79177033235706","24.40595995458899","29.995196334367158","21.581466576291056","19.151438708006854","23.895762662669263","22.154494474358472","19.164617820140087","24.9273488259098","28.426183271127005","24.65710046808962","32.35845958180113","30.346146323920987","28.47278259418954","32.43513886253573","30.954328113043694","27.2620151618362","33.70516586353695","38.78458007158913","37.1144427236687","40.39379794412644","52.24343363989922","49.93558468922401","53.993579633883215","63.40184981960009","60.502872392432785","65.1854196113076","69.91353138320797","68.26869838224185","71.27949091893949","70.60662546432941","69.24868048124542","72.61490267523993","72.52533344431319","70.01954135794082","74.58537001406535","71.95640496530098","70.23407343972872","73.64007346479639"
"16000","25.448270582210014","23.789262290560035","27.017005954671163","23.780718033518472","18.530867054780305","27.193003080983903","22.241024792738163","19.525323346320437","25.546892646115783","29.634269251953974","28.36959005534287","31.17818116813288","26.58355627905352","22.93427069796731","31.796153727654815","31.747783014986005","28.456841642079933","34.89012604119208","40.257781255077575","39.44216586089038","40.98516592314239","50.524978690821456","48.8752066266382","52.37277561304667","65.87801511874645","65.31842441220334","66.49876521129208","71.07152442081997","68.71022691092466","72.68799576998296","70.12997183430551","67.14963136388809","72.56392673482485","71.6764734400433","70.16328143476855","72.60023585835171","71.52988446711875","71.29678081671788","72.00138067415685"
"16500","25.72392404919085","25.212264260942298","26.26169932856491","23.045925310541676","22.617070772068697","23.686849514360233","20.969692256309237","19.3675083924196","22.504603052441485","26.74052228372439","23.55120623326276","30.929550552871206","27.71605579938937","25.6201866401502","31.893620969842935","29.160580828652897","26.15943247400006","34.02948770727159","39.768252029013176","38.46301620114821","42.032073528625254","51.90073597111998","50.294446879625944","52.9207106378458","65.43288766953951","64.22265894569868","66.90152328059126","70.91258792864126","69.53385610125042","71.56791319543765","71.35012095432286","68.778261516856","72.57552249509513","72.4511914969986","69.1389832304403","74.13893743739789","72.37435799191775","71.69826443428781","73.16696237744068"
"17000","24.772364413505986","21.499159583438637","31.628099659474362","22.052900716858954","16.14760708848489","26.844821553043165","23.547819379088367","21.998546195107046","25.515651962194696","28.088257306518468","24.690872113907187","30.47818065624437","26.1914685364905","24.614874436076136","29.62474164577367","32.35564785574497","29.786030490901975","34.86896355250029","37.28181696335539","34.65351318297184","38.36651319907671","52.175659959007454","48.32247573985002","54.66579607212875","64.7793337776827","63.682352699421244","67.43324722293083","71.34889039712941","68.9948952072626","73.05471047071008","72.0958500871487","72.02544962520044","72.22787168837324","70.43080262830142","69.90883702867099","70.80089354750368","71.70437675270713","69.04230255802774","73.31378962958762"
